Player,Pos,Squad,Age,Born,MP,Min,90s,CrdY,CrdR
Alejandro Zendejas,"FW,MF",us USA,28,1998,1,14,0.2,0,0
Besfort Zeneli,MF,se Sweden,23,2002,2,60,0.7,0,0
Ramiz Zerrouki,MF,dz Algeria,28,1998,3,111,1.2,1,0
Luca Zidane,GK,dz Algeria,28,1998,3,270,3.0,0,0
Mostafa Ziko,"FW,MF",eg Egypt,29,1997,5,370,4.1,0,0
David Zima,DF,cz Czechia,25,2000,1,13,0.1,0,0
Zizo,MF,eg Egypt,30,1996,4,56,0.6,0,0
Martín Zubimendi,MF,es Spain,27,1999,1,22,0.2,0,0
Themba Zwane,"FW,MF",za South Africa,36,1989,1,23,0.3,0,1
Martin Ødegaard,MF,no Norway,27,1998,5,470,5.2,0,0
Leo Østigård,DF,no Norway,26,1999,5,146,1.6,0,0
