Player,Pos,Squad,Age,Born,MP,Min,90s,CrdY,CrdR
Mory Diaw,GK,sn Senegal,32,1993,3,238,2.6,0,0
Brahim Díaz,MF,ma Morocco,26,1999,6,457,5.1,0,0
Ismael Díaz,"FW,MF",pa Panama,29,1997,2,37,0.4,0,0
Luis Díaz,"FW,MF",co Colombia,29,1997,5,478,5.3,0,0
Bamba Dieng,FW,sn Senegal,26,2000,1,8,0.1,0,0
Lucas Digne,DF,fr France,32,1993,6,463,5.1,0,0
Diney,DF,cv Cabo Verde,31,1995,4,390,4.3,1,0
Ousmane Diomande,DF,ci Côte d'Ivoire,22,2003,1,90,1.0,0,0
Yan Diomandé,"MF,FW",ci Côte d'Ivoire,19,2006,4,329,3.7,0,0
Issa Diop,DF,ma Morocco,29,1997,5,476,5.3,3,0
El Hadji Malick Diouf,DF,sn Senegal,21,2004,3,171,1.9,0,0
Ritsu Doan,MF,jp Japan,27,1998,4,278,3.1,0,0
Jeremy Doku,MF,be Belgium,24,2002,5,309,3.4,0,0
Merchas Doski,DF,iq Iraq,26,1999,3,270,3.0,1,0
David Douděra,MF,cz Czechia,28,1998,1,90,1.0,0,0
Désiré Doué,MF,fr France,21,2005,8,400,4.4,0,0
Guéla Doué,DF,ci Côte d'Ivoire,23,2002,4,277,3.1,1,0
Deroy Duarte,MF,cv Cabo Verde,26,1999,4,264,2.9,0,0
Laros Duarte,MF,cv Cabo Verde,29,1997,4,166,1.8,0,0
Denzel Dumfries,"DF,MF",nl Netherlands,30,1996,4,390,4.3,0,0
Jean-Kevin Duverne,DF,ht Haiti,28,1997,2,169,1.9,0,0
Lyndon Dykes,"FW,MF",sct Scotland,30,1995,2,36,0.4,0,0
Edin Džeko,FW,ba Bosnia–Herz,40,1986,3,176,2.0,1,0
Roshon van Eijma,DF,cw Curaçao,28,1998,1,15,0.2,0,0
Anthony Elanga,"MF,FW",se Sweden,24,2002,4,217,2.4,0,0
Meschak Elia,"FW,MF",cd Congo DR,28,1997,2,46,0.5,0,0
Callan Elliot,DF,nz New Zealand,26,1999,1,13,0.1,0,0
Eren Elmalı,DF,tr Türkiye,25,2000,2,111,1.2,1,0
Nico Elvedi,DF,ch Switzerland,29,1996,6,600,6.7,1,0
Breel Embolo,FW,ch Switzerland,29,1997,6,501,5.6,2,1
Julio Enciso,FW,py Paraguay,22,2004,5,386,4.3,0,0
Endrick,FW,br Brazil,19,2006,4,114,1.3,0,0
Sherzod Esanov,MF,uz Uzbekistan,23,2003,1,1,0.0,0,0
Fidel Escobar,DF,pa Panama,31,1995,1,90,1.0,0,0
Pervis Estupiñán,MF,ec Ecuador,28,1998,2,89,1.0,0,0
Derrick Etienne,"FW,MF",ht Haiti,29,1996,1,10,0.1,0,0
Stephen Eustáquio,MF,ca Canada,29,1996,5,392,4.4,0,0
Martin Expérience,"DF,MF",ht Haiti,27,1999,3,270,3.0,0,0
Saeid Ezatolahi,MF,ir IR Iran,29,1996,3,264,2.9,2,0
Eberechi Eze,MF,eng England,27,1998,5,211,2.3,0,0
Fabinho,"DF,MF",br Brazil,32,1993,3,71,0.8,1,0
José Fajardo,FW,pa Panama,32,1993,3,155,1.7,1,0
Odeh Al-Fakhouri,"MF,FW",jo Jordan,20,2005,3,148,1.6,0,0
Henrik Falchener,DF,no Norway,23,2003,1,65,0.7,0,0
Marko Farji,MF,iq Iraq,22,2004,2,54,0.6,0,0
Christian Fassnacht,"FW,MF",ch Switzerland,32,1993,1,6,0.1,0,0
Abdul Fatawu Issahaku,"FW,MF",gh Ghana,22,2004,4,132,1.5,1,0
Ahmed Fathy,MF,qa Qatar,33,1993,3,150,1.7,2,0
Hamdy Fathy,"DF,MF",eg Egypt,31,1994,4,238,2.6,1,0
Ahmed Fatouh,DF,eg Egypt,28,1998,3,267,3.0,1,0
Abbosbek Fayzullayev,MF,uz Uzbekistan,22,2003,3,220,2.4,0,0
João Félix,MF,pt Portugal,26,1999,3,201,2.2,0,0
Lewis Ferguson,MF,sct Scotland,26,1999,3,270,3.0,0,0
Bruno Fernandes,MF,pt Portugal,31,1994,5,422,4.7,0,0
Enzo Fernández,MF,ar Argentina,25,2001,7,659,7.3,2,1
Matias Fernandez-Pardo,"FW,MF",be Belgium,21,2005,3,44,0.5,0,0
Álvaro Fidalgo,MF,mx Mexico,29,1997,3,96,1.1,0,0
Sherel Floranus,DF,cw Curaçao,27,1998,3,270,3.0,0,0
Seko Fofana,MF,ci Côte d'Ivoire,31,1995,2,92,1.0,1,0
Yahia Fofana,GK,ci Côte d'Ivoire,25,2000,4,360,4.0,0,0
Deveron Fonville,DF,cw Curaçao,23,2003,3,241,2.7,0,0
Yassin Fortuné,"FW,MF",ht Haiti,27,1999,1,6,0.1,0,0
Lyle Foster,FW,za South Africa,25,2000,1,55,0.6,0,0
Alan Franco,DF,ec Ecuador,27,1998,4,251,2.8,2,0
Alex Freeman,DF,us USA,21,2004,5,374,4.2,0,0
Matt Freese,GK,us USA,27,1998,4,360,4.0,0,0
Remo Freuler,MF,ch Switzerland,34,1992,6,592,6.6,0,0
Marco Friedl,DF,at Austria,28,1998,1,24,0.3,0,0
Juriën Gaari,DF,cw Curaçao,32,1993,2,166,1.8,1,0
Jassem Gaber,MF,qa Qatar,24,2002,3,149,1.7,1,0
Cody Gakpo,FW,nl Netherlands,27,1999,4,368,4.1,0,0
Matías Galarza,MF,py Paraguay,24,2002,4,388,4.3,2,0
Hernán Galíndez,GK,ec Ecuador,39,1987,4,360,4.0,0,0
Jesús Gallardo,DF,mx Mexico,31,1994,5,373,4.1,0,0
Ahmed Al-Ganehi,FW,qa Qatar,25,2000,1,36,0.4,0,0
Ben Gannon-Doak,MF,sct Scotland,20,2005,3,186,2.1,0,0
Eric García,"DF,MF",es Spain,25,2001,1,22,0.2,0,0
Gavi,FW,es Spain,21,2004,2,76,0.8,0,0
Jason Geria,DF,au Australia,33,1993,2,62,0.7,0,0
Khalid Al Ghannam,MF,sa Saudi Arabia,25,2000,1,1,0.0,0,0
Ismaël Gharbi,MF,tn Tunisia,22,2004,3,127,1.4,0,0
Mehdi Ghayedi,FW,ir IR Iran,27,1998,1,45,0.5,0,0
Farés Ghedjemis,"FW,MF",dz Algeria,23,2002,1,1,0.0,0,0
Saman Ghoddos,MF,ir IR Iran,32,1993,3,208,2.3,0,0
Mohammad Ghorbani,MF,ir IR Iran,25,2001,1,90,1.0,0,0
Lee Gi-hyuk,DF,kr Korea Republic,25,2000,3,270,3.0,1,0
Armin Gigovic,MF,ba Bosnia–Herz,24,2002,2,79,0.9,0,0
Orlando Gill,GK,py Paraguay,26,2000,5,480,5.3,0,0
Santiago Giménez,FW,mx Mexico,25,2001,4,86,1.0,0,0
Aníbal Godoy,MF,pa Panama,36,1990,1,1,0.0,0,0
Andrés Gómez,MF,co Colombia,23,2002,1,1,0.0,0,0
Diego Gómez,MF,py Paraguay,23,2003,4,304,3.4,2,0
Gustavo Gómez,DF,py Paraguay,33,1993,5,480,5.3,0,0
Armando González,FW,mx Mexico,23,2003,1,15,0.2,0,0
Nicolás González,MF,ar Argentina,28,1998,7,259,2.9,0,0
Anthony Gordon,MF,eng England,25,2001,6,396,4.4,0,0
Leon Goretzka,MF,de Germany,31,1995,3,99,1.1,0,0
Kenji Gorré,"FW,MF",cw Curaçao,31,1994,1,16,0.2,0,0
Keisuke Gotō,FW,jp Japan,21,2005,1,7,0.1,0,0
Amine Gouiri,FW,dz Algeria,26,2000,4,251,2.8,0,0
Ryan Gravenberch,MF,nl Netherlands,24,2002,4,345,3.8,0,0
Michael Gregoritsch,FW,at Austria,32,1994,3,188,2.1,0,0
Florian Grillitsch,"DF,MF",at Austria,30,1995,2,90,1.0,0,0
Pascal Groß,"DF,MF",de Germany,34,1991,1,18,0.2,0,0
Gabriel Gudmundsson,"MF,DF",se Sweden,27,1999,4,330,3.7,1,0
Cho Gue-sung,FW,kr Korea Republic,28,1998,2,31,0.3,1,0
Marc Guéhi,DF,eng England,25,2000,8,663,7.4,1,0
Evann Guessand,"FW,MF",ci Côte d'Ivoire,24,2001,2,17,0.2,0,0
Idrissa Gueye,MF,sn Senegal,36,1989,4,361,4.0,0,0
Pape Gueye,MF,sn Senegal,27,1999,4,234,2.6,1,0
Bruno Guimarães,MF,br Brazil,28,1997,5,416,4.6,0,0
Deniz Gül,FW,tr Türkiye,21,2004,2,37,0.4,0,0
Arda Güler,MF,tr Türkiye,21,2005,3,270,3.0,0,0
Angus Gunn,GK,sct Scotland,30,1996,3,270,3.0,0,0
Malo Gusto,DF,fr France,23,2003,5,121,1.3,0,0
Brian Gutiérrez,MF,mx Mexico,22,2003,4,198,2.2,1,0
Jorge Gutiérrez,DF,pa Panama,27,1998,1,87,1.0,0,0
Joško Gvardiol,DF,hr Croatia,24,2002,4,139,1.5,0,0
Viktor Gyökeres,FW,se Sweden,28,1998,4,360,4.0,1,0
Aziz Gʻaniyev,MF,uz Uzbekistan,28,1998,2,122,1.4,0,0
Erling Haaland,FW,no Norway,25,2000,5,465,5.2,0,0
Ihsan Haddad,DF,jo Jordan,32,1994,3,260,2.9,0,0
Anis Hadj Moussa,MF,dz Algeria,24,2002,3,98,1.1,0,0
Jaouen Hadjam,DF,dz Algeria,23,2003,3,109,1.2,0,0
Amir Hadžiahmetović,MF,ba Bosnia–Herz,29,1997,1,6,0.1,0,0
Dennis Hadžikadunić,DF,ba Bosnia–Herz,27,1998,1,27,0.3,0,0
Karim Hafez,DF,eg Egypt,30,1996,3,172,1.9,0,0
Ehsan Hajsafi,DF,ir IR Iran,36,1990,2,91,1.0,1,0
Achraf Hakimi,DF,ma Morocco,27,1998,6,570,6.3,1,0
Redouane Halhal,DF,ma Morocco,23,2003,2,180,2.0,1,0
Ali Al Hamadi,FW,iq Iraq,24,2002,3,180,2.0,0,0
Abdullah Al-Hamdan,FW,sa Saudi Arabia,26,1999,3,71,0.8,0,0
Mohamed Amine Ben Hamida,DF,tn Tunisia,30,1995,3,202,2.2,0,0
Odiljon Hamrobekov,MF,uz Uzbekistan,30,1996,2,77,0.9,1,0
Lee Han-beom,DF,kr Korea Republic,23,2002,3,270,3.0,0,0
Grant Hanley,DF,sct Scotland,34,1991,2,180,2.0,0,0
Sontje Hansen,FW,cw Curaçao,24,2002,1,45,0.5,0,0
Mohamed Hany,DF,eg Egypt,30,1996,5,480,5.3,0,0
Moteb Al-Harbi,DF,sa Saudi Arabia,26,2000,3,188,2.1,0,0
Saleh Hardani,DF,ir IR Iran,27,1998,2,90,1.0,0,0
Carlos Harvey,MF,pa Panama,26,2000,3,267,3.0,1,0
Akam Hashim,DF,iq Iraq,27,1998,3,270,3.0,0,0
Haissem Hassan,MF,eg Egypt,24,2002,2,126,1.4,2,0
Jalal Hassan,GK,iq Iraq,35,1991,2,135,1.5,0,0
Abdulaziz Hatem,MF,qa Qatar,36,1990,1,45,0.5,0,0
Jorrel Hato,DF,nl Netherlands,20,2006,1,35,0.4,0,0
Kai Havertz,FW,de Germany,27,1999,4,353,3.9,1,0
Hassan Al-Haydos,MF,qa Qatar,35,1990,2,57,0.6,0,0
Jan Paul van Hecke,DF,nl Netherlands,26,2000,4,390,4.3,0,0
Hwang Hee-chan,FW,kr Korea Republic,30,1996,3,108,1.2,0,0
Torbjørn Heggem,DF,no Norway,27,1999,5,443,4.9,0,0
Alaa Al Hejji,MF,sa Saudi Arabia,30,1995,2,32,0.4,0,0
Dean Henderson,GK,eng England,29,1997,1,90,1.0,0,0
Jordan Henderson,MF,eng England,35,1990,1,7,0.1,1,0
Jack Hendry,DF,sct Scotland,31,1995,3,270,3.0,0,0
Luiz Henrique,"FW,MF",br Brazil,25,2001,1,29,0.3,0,0
Theo Hernández,DF,fr France,28,1997,5,257,2.9,0,0
Lucas Herrington,DF,au Australia,18,2007,2,210,2.3,0,0
Son Heung-min,FW,kr Korea Republic,33,1992,3,169,1.9,0,0
Aaron Hickey,DF,sct Scotland,24,2002,1,74,0.8,1,0
Isak Hien,DF,se Sweden,27,1999,3,216,2.4,1,0
Piero Hincapié,DF,ec Ecuador,24,2002,4,339,3.8,1,1
Adam Hložek,FW,cz Czechia,23,2002,3,156,1.7,0,0
Tomáš Holeš,DF,cz Czechia,33,1993,2,153,1.7,0,0
Amirhossein Hosseinzadeh,FW,ir IR Iran,25,2000,2,17,0.2,0,0
Robin Hranáč,DF,cz Czechia,26,2000,3,270,3.0,0,0
Ajdin Hrustic,MF,au Australia,29,1996,2,80,0.9,0,0
César Huerta,"FW,MF",mx Mexico,25,2000,1,7,0.1,0,0
Al-Hashmi Al-Hussain,MF,qa Qatar,22,2003,1,32,0.4,0,0
Ayman Hussein,FW,iq Iraq,30,1996,2,115,1.3,0,0
Oh Hyeon-gyu,FW,kr Korea Republic,25,2001,3,129,1.4,0,0
Yang Hyun-jun,"FW,MF",kr Korea Republic,24,2002,1,20,0.2,0,0
Roger Ibanez,DF,br Brazil,27,1998,1,45,0.5,1,0
Yasser Ibrahim,DF,eg Egypt,33,1993,5,467,5.2,2,0
Borja Iglesias,FW,es Spain,33,1993,1,1,0.0,0,0
Hwang In-beom,MF,kr Korea Republic,29,1996,3,263,2.9,0,0
Christ Inao Oulaï,MF,ci Côte d'Ivoire,20,2006,4,208,2.3,0,0
Zidane Iqbal,MF,iq Iraq,23,2003,3,188,2.1,0,0
Nestory Irankunda,"FW,MF",au Australia,20,2006,4,261,2.9,0,0
Jackson Irvine,MF,au Australia,33,1993,4,223,2.5,1,0
Alexander Isak,FW,se Sweden,26,1999,4,357,4.0,0,0
Wilson Isidor,FW,ht Haiti,25,2000,3,186,2.1,0,0
Jamshid Iskanderov,"FW,MF",uz Uzbekistan,32,1993,1,9,0.1,0,0
Zaid Ismail,MF,iq Iraq,24,2002,2,117,1.3,0,0
Ko Itakura,DF,jp Japan,29,1997,2,128,1.4,0,0
Jacob Italiano,DF,au Australia,24,2001,2,163,1.8,1,0
Hiroki Ito,DF,jp Japan,27,1999,4,360,4.0,0,0
Junya Itō,MF,jp Japan,33,1993,4,216,2.4,0,0
Cedric Itten,"FW,MF",ch Switzerland,29,1996,3,42,0.5,0,0
Nicolas Jackson,FW,sn Senegal,24,2001,4,234,2.6,0,0
Lee Jae-sung,FW,kr Korea Republic,33,1992,2,117,1.3,0,0
Alireza Jahanbakhsh,"FW,MF",ir IR Iran,32,1993,2,46,0.5,0,0
Ismail Jakobs,DF,sn Senegal,26,1999,3,219,2.4,0,0
Reece James,DF,eng England,26,1999,5,319,3.5,0,0
Amer Jamous,MF,jo Jordan,23,2002,1,15,0.2,0,0
Luca Jaquez,DF,ch Switzerland,23,2003,2,78,0.9,0,0
Ardon Jashari,MF,ch Switzerland,23,2002,3,72,0.8,0,0
Ali Jasim,MF,iq Iraq,22,2004,2,129,1.4,0,0
Danley Jean-Jacques,MF,ht Haiti,26,2000,3,259,2.9,1,0
Eom Ji-sung,MF,kr Korea Republic,24,2002,2,42,0.5,0,0
Raúl Jiménez,FW,mx Mexico,35,1991,4,317,3.5,0,0
Kim Jin-gyu,MF,kr Korea Republic,29,1997,2,52,0.6,0,0
Park Jinseob,"DF,MF",kr Korea Republic,30,1995,2,32,0.4,0,0
Ruslanbek Jiyanov,FW,uz Uzbekistan,25,2001,1,1,0.0,0,0
Alistair Johnston,DF,ca Canada,27,1998,5,450,5.0,1,0
Frenkie de Jong,MF,nl Netherlands,29,1997,4,328,3.6,0,0
Lenny Joseph,FW,ht Haiti,25,2000,3,117,1.3,0,0
Edmilson Junior,"MF,FW",qa Qatar,31,1994,3,210,2.3,0,0
Vinicius Júnior,FW,br Brazil,25,2000,5,440,4.9,0,0
Elijah Just,MF,nz New Zealand,26,2000,3,264,2.9,1,0
Musab Al Juwayr,"MF,FW",sa Saudi Arabia,22,2003,3,152,1.7,0,0
Ayoub El Kaabi,FW,ma Morocco,32,1993,1,69,0.8,0,0
Ozan Kabak,DF,tr Türkiye,26,2000,1,90,1.0,0,0
Ferdi Kadioglu,DF,tr Türkiye,26,1999,2,159,1.8,0,0
Kaku,MF,py Paraguay,31,1995,1,11,0.1,0,0
Saša Kalajdžić,FW,at Austria,28,1997,3,77,0.9,0,0
Gédéon Kalulu,DF,cd Congo DR,28,1997,1,6,0.1,0,0
Daichi Kamada,MF,jp Japan,29,1996,4,329,3.7,1,0
Hossein Kanaanizadegan,DF,ir IR Iran,32,1994,2,135,1.5,1,0
Harry Kane,FW,eng England,32,1993,7,652,7.2,0,0
Lee Kang-in,FW,kr Korea Republic,25,2001,3,270,3.0,1,0
Mohamed Kanno,MF,sa Saudi Arabia,31,1994,3,225,2.5,1,0
Steve Kapuadi,DF,cd Congo DR,28,1998,2,180,2.0,0,0
Bekhruz Karimov,DF,uz Uzbekistan,18,2007,2,179,2.0,0,0
Jesper Karlström,MF,se Sweden,30,1995,2,138,1.5,0,0
Gervane Kastaneer,"FW,MF",cw Curaçao,30,1996,3,30,0.3,2,0
Nikola Katić,DF,ba Bosnia–Herz,29,1996,4,317,3.5,1,0
Edo Kayembe,MF,cd Congo DR,28,1998,3,160,1.8,0,0
Joris Kayembe,"DF,FW",cd Congo DR,31,1994,4,45,0.5,0,0
Franck Kessié,MF,ci Côte d'Ivoire,29,1996,4,346,3.8,1,0
Abdullah Al-Khaibari,MF,sa Saudi Arabia,29,1996,3,180,2.0,0,0
Shoja' Khalilzadeh,DF,ir IR Iran,37,1989,3,270,3.0,1,0
Dostonbek Khamdamov,MF,uz Uzbekistan,29,1996,2,103,1.1,0,0
Bilal El Khannouss,"MF,FW",ma Morocco,22,2004,6,461,5.1,1,0
Rani Khedira,MF,tn Tunisia,32,1994,3,149,1.7,1,0
Boualem Khoukhi,DF,qa Qatar,35,1990,3,270,3.0,0,0
Abdukodir Khusanov,DF,uz Uzbekistan,22,2004,3,270,3.0,2,0
Joshua Kimmich,DF,de Germany,31,1995,4,351,3.9,0,0
Justin Kluivert,"FW,MF",nl Netherlands,27,1999,2,27,0.3,0,0
Gregor Kobel,GK,ch Switzerland,28,1997,6,600,6.7,0,0
Orkun Kökçü,MF,tr Türkiye,25,2000,3,153,1.7,0,0
Sead Kolašinac,DF,ba Bosnia–Herz,32,1993,4,337,3.7,0,0
Ghislain Konan,DF,ci Côte d'Ivoire,30,1995,3,269,3.0,0,0
Ibrahima Konaté,DF,fr France,27,1999,2,60,0.7,0,0
Ismaël Koné,MF,ca Canada,23,2002,2,146,1.6,0,0
Manu Koné,MF,fr France,25,2001,5,385,4.3,1,0
Ezri Konsa,DF,eng England,28,1997,8,647,7.2,0,0
Teun Koopmeiners,"DF,MF",nl Netherlands,28,1998,4,122,1.4,0,0
Odilon Kossounou,DF,ci Côte d'Ivoire,25,2001,4,272,3.0,0,0
Kalidou Koulibaly,DF,sn Senegal,34,1991,2,161,1.8,0,0
Jules Koundé,DF,fr France,27,1998,8,599,6.7,0,0
Mateo Kovačić,MF,hr Croatia,32,1994,4,270,3.0,0,0
Matej Kovar,GK,cz Czechia,26,2000,3,270,3.0,0,0
Andrej Kramarić,"FW,MF",hr Croatia,34,1991,3,59,0.7,0,0
Ladislav Krejčí,DF,cz Czechia,27,1999,3,270,3.0,1,0
Takefusa Kubo,MF,jp Japan,25,2001,1,74,0.8,0,0
Brandley Kuwas,"FW,MF",cw Curaçao,33,1992,1,1,0.0,0,0
Prince Kwabena Adu,FW,gh Ghana,22,2003,3,39,0.4,0,0
Maxence Lacroix,DF,fr France,26,2000,3,241,2.7,0,0
Gustaf Lagerbielke,DF,se Sweden,26,2000,4,360,4.0,0,0
Konrad Laimer,"MF,DF",at Austria,29,1997,4,360,4.0,1,0
Ali Lajami,DF,sa Saudi Arabia,30,1996,3,149,1.7,0,0
Senne Lammens,GK,be Belgium,23,2002,1,20,0.2,0,0
Noa Lang,"FW,MF",nl Netherlands,26,1999,2,8,0.1,0,0
Sondre Langås,DF,no Norway,25,2001,1,25,0.3,0,0
Aymeric Laporte,DF,es Spain,32,1994,8,727,8.1,1,0
Cyle Larin,FW,ca Canada,31,1995,4,190,2.1,2,0
Richie Laryea,DF,ca Canada,31,1995,5,429,4.8,1,0
Mohanad Lasheen,MF,eg Egypt,30,1996,4,359,4.0,2,0
Issa Laye,"MF,DF",qa Qatar,28,1997,3,270,3.0,0,0
Rafael Leão,MF,pt Portugal,27,1999,5,158,1.8,0,0
Mathew Leckie,MF,au Australia,35,1991,1,60,0.7,0,0
Jefferson Lerma,MF,co Colombia,31,1994,5,410,4.6,1,0
Jamie Leweling,"FW,MF",de Germany,25,2001,1,31,0.3,0,0
Philipp Lienhart,DF,at Austria,29,1996,2,180,2.0,0,0
Victor Lindelöf,"DF,MF",se Sweden,31,1994,4,356,4.0,0,0
Erik Lira,MF,mx Mexico,26,2000,4,345,3.8,0,0
Dominik Livaković,GK,hr Croatia,31,1995,4,360,4.0,0,0
Dailon Livramento,FW,cv Cabo Verde,25,2001,3,174,1.9,0,0
Marcos Llorente,DF,es Spain,31,1995,3,187,2.1,0,0
Giovani Lo Celso,MF,ar Argentina,30,1996,1,59,0.7,0,0
Jürgen Locadia,FW,cw Curaçao,32,1993,3,235,2.6,0,0
Azarías Londoño,MF,pa Panama,24,2001,3,56,0.6,0,0
Sidny Lopes Cabral,DF,cv Cabo Verde,23,2002,3,285,3.2,2,0
Flaco López,FW,ar Argentina,25,2000,2,20,0.2,1,0
Derrick Luckassen,DF,gh Ghana,30,1995,2,180,2.0,0,0
Jhon Lucumí,DF,co Colombia,27,1998,5,478,5.3,1,0
José Luis Rodríguez,"MF,FW",pa Panama,27,1998,3,233,2.6,0,0
Romelu Lukaku,FW,be Belgium,33,1993,6,233,2.6,1,0
Dodi Lukebakio,MF,be Belgium,28,1997,3,164,1.8,0,0
Jovo Lukić,FW,ba Bosnia–Herz,27,1998,2,67,0.7,1,0
Awer Mabil,"FW,MF",au Australia,30,1995,1,30,0.3,0,0
Alexis Mac Allister,MF,ar Argentina,27,1998,8,750,8.3,1,0
Deiver Machado,DF,co Colombia,32,1993,1,90,1.0,0,0
Shuto Machino,FW,jp Japan,26,1999,1,13,0.1,0,0
Assim Madibo,MF,qa Qatar,29,1996,2,131,1.5,0,1
Noni Madueke,MF,eng England,24,2002,5,286,3.2,0,0
Daizen Maeda,MF,jp Japan,28,1997,3,244,2.7,0,0
Gabriel Magalhães,DF,br Brazil,28,1997,5,450,5.0,0,0
Ermin Mahmić,MF,ba Bosnia–Herz,21,2005,3,68,0.8,1,0
Hadj Mahmoud,MF,tn Tunisia,26,2000,2,43,0.5,0,0
Riyad Mahrez,MF,dz Algeria,35,1991,4,262,2.9,0,0
Alexandro Maidana,DF,py Paraguay,20,2005,2,55,0.6,0,0
Mike Maignan,GK,fr France,30,1995,8,720,8.0,0,0
Evidence Makgopa,FW,za South Africa,26,2000,4,215,2.4,0,0
Ahmed Maknzi,DF,iq Iraq,24,2001,1,33,0.4,0,0
Donyell Malen,FW,nl Netherlands,27,1999,3,185,2.1,0,0
Arjan Malic,DF,ba Bosnia–Herz,20,2005,1,45,0.5,0,0
Mohamed Manai,DF,qa Qatar,23,2002,3,69,0.8,0,0
Aïssa Mandi,DF,dz Algeria,34,1991,4,360,4.0,0,0
Sadio Mané,"MF,FW",sn Senegal,34,1992,4,362,4.0,0,0
Juan Manuel Sanabria,DF,uy Uruguay,26,2000,3,204,2.3,1,0
Johan Manzambi,"MF,FW",ch Switzerland,20,2005,4,199,2.2,0,0
Mahmoud Al-Mardi,MF,jo Jordan,32,1993,3,130,1.4,0,0
Jearl Margaritha,"FW,MF",cw Curaçao,26,2000,2,41,0.5,0,0
Omar Marmoush,"FW,MF",eg Egypt,27,1999,5,326,3.6,0,0
Marquinhos,DF,br Brazil,32,1994,5,450,5.0,0,0
Gabriel Martinelli,MF,br Brazil,24,2001,4,143,1.6,0,0
Guillermo Martínez Ayala,FW,mx Mexico,31,1995,2,72,0.8,0,0
Cristian Martínez,"MF,FW",pa Panama,29,1997,3,242,2.7,0,0
Emiliano Martínez,GK,ar Argentina,33,1992,8,810,9.0,0,0
Lautaro Martínez,FW,ar Argentina,28,1997,7,310,3.4,1,0
Lisandro Martínez,DF,ar Argentina,28,1998,7,624,6.9,2,0
Thapelo Maseko,"MF,FW",za South Africa,22,2003,3,242,2.7,0,0
Hazem Mastouri,FW,tn Tunisia,28,1997,1,89,1.0,0,0
Arthur Masuaku,DF,cd Congo DR,32,1993,4,315,3.5,0,0
Igor Matanović,FW,hr Croatia,23,2003,3,95,1.1,0,0
Pape Matar Sarr,MF,sn Senegal,23,2002,2,67,0.7,0,0
Jean-Philippe Mateta,FW,fr France,28,1997,3,24,0.3,0,0
Mauricio,MF,py Paraguay,25,2001,4,173,1.9,0,0
Fiston Mayele,FW,cd Congo DR,31,1994,2,42,0.5,0,0
Ibrahim Maza,"MF,FW",dz Algeria,20,2005,4,351,3.9,0,0
Noussair Mazraoui,DF,ma Morocco,28,1997,6,477,5.3,0,0
Kylian Mbappé,FW,fr France,27,1998,8,695,7.7,1,0
Thalente Mbatha,MF,za South Africa,26,2000,4,260,2.9,1,0
Ibrahim Mbaye,MF,sn Senegal,18,2008,4,157,1.7,0,0
Chancel Mbemba,DF,cd Congo DR,31,1994,4,360,4.0,1,0
Mbekezeli Mbokazi,DF,za South Africa,20,2005,4,360,4.0,0,0
Nathanaël Mbuku,"MF,FW",cd Congo DR,24,2002,3,143,1.6,1,0
Callum McCowatt,MF,nz New Zealand,27,1999,3,159,1.8,1,0
John McGinn,MF,sct Scotland,31,1994,3,259,2.9,0,0
Scott McKenna,DF,sct Scotland,29,1996,1,90,1.0,0,0
Weston McKennie,MF,us USA,27,1998,5,443,4.9,1,0
Mark McKenzie,DF,us USA,27,1999,1,90,1.0,0,0
Kenny McLean,MF,sct Scotland,34,1992,3,118,1.3,1,0
Scott McTominay,MF,sct Scotland,29,1996,3,270,3.0,0,0
Brandon Mechele,DF,be Belgium,33,1993,6,570,6.3,1,0
Facundo Medina,DF,ar Argentina,27,1999,5,308,3.4,1,0
Yaimar Medina,"DF,MF",ec Ecuador,21,2004,1,45,0.5,0,0
Hannibal Mejbri,MF,tn Tunisia,23,2003,3,270,3.0,0,0
Amar Memić,MF,ba Bosnia–Herz,25,2001,4,224,2.5,0,0
Memphis,"FW,MF",nl Netherlands,32,1994,3,54,0.6,1,0
Sultan Mendash,MF,sa Saudi Arabia,31,1994,1,65,0.7,0,0
Lucas Mendes,DF,qa Qatar,35,1990,1,4,0.0,0,0
Nuno Mendes,DF,pt Portugal,23,2002,5,395,4.4,0,0
Ryan Mendes,"FW,MF",cv Cabo Verde,36,1990,4,330,3.7,0,0
Édouard Mendy,GK,sn Senegal,34,1992,2,152,1.7,0,0
Gideon Mensah,DF,gh Ghana,27,1998,4,360,4.0,0,0
Mikel Merino,MF,es Spain,29,1996,8,199,2.2,0,0
Lionel Messi,FW,ar Argentina,38,1987,8,740,8.2,0,0
Connor Metcalfe,MF,au Australia,26,1999,4,315,3.5,0,0
Thomas Meunier,DF,be Belgium,34,1991,3,190,2.1,0,0
Liam Millar,MF,ca Canada,26,1999,3,162,1.8,1,0
Kim Min-jae,DF,kr Korea Republic,29,1996,3,245,2.7,0,0
Yerry Mina,DF,co Colombia,31,1994,1,2,0.0,0,0
Alan Minda,MF,ec Ecuador,23,2003,1,55,0.6,0,0
Aubrey Modiba,DF,za South Africa,30,1995,4,346,3.8,1,0
Luka Modrić,MF,hr Croatia,40,1985,4,317,3.5,1,0
Relebohile Mofokeng,MF,za South Africa,21,2004,3,169,1.9,0,0
Shahriar Moghanlou,FW,ir IR Iran,31,1994,3,88,1.0,0,0
Milad Mohammadi,DF,ir IR Iran,32,1993,3,205,2.3,0,0
Mohammad Mohebi,MF,ir IR Iran,27,1998,3,244,2.7,0,0
