group,n,mean,median,std,min,max,ci_lower,ci_upper
30+,30,0.1319620664803389,0.0,0.2454477861150749,0.0,1.0,0.04031035689128039,0.22361377606939742
Under 23,30,0.7796272355095885,0.0,2.534673668185663,0.0,10.0,-0.1668354668701021,1.7260899378892787
