Group,Population_size,Sample_size,Mean,CI_lower,CI_upper
30+ (sample n=30),254,30,0.1319620664803389,0.04031035689128039,0.22361377606939742
<23 (sample n=30),116,30,0.7796272355095883,-0.1668354668701021,1.7260899378892787
