match_id,date,team,opponent,result,goals,shots_on_target,shots_total,fouls,xg,source
18/06/2026_Switzerland_Bosnia & Herzegovina,18/06/2026,Bosnia & Herzegovina,Switzerland,Loss,1,3,5,18,0.23,TheStatsDontLie
18/06/2026_Canada_Qatar,18/06/2026,Canada,Qatar,Win,6,10,32,9,4.6,TheStatsDontLie
18/06/2026_Canada_Qatar,18/06/2026,Qatar,Canada,Loss,0,0,2,10,0.22,TheStatsDontLie
19/06/2026_Mexico_South Korea,19/06/2026,Mexico,South Korea,Win,1,4,8,9,0.53,TheStatsDontLie
19/06/2026_Mexico_South Korea,19/06/2026,South Korea,Mexico,Loss,0,2,9,7,0.91,TheStatsDontLie
19/06/2026_USA_Australia,19/06/2026,USA,Australia,Win,2,2,10,12,1.08,TheStatsDontLie
19/06/2026_USA_Australia,19/06/2026,Australia,USA,Loss,0,2,5,16,0.35,TheStatsDontLie
19/06/2026_Scotland_Morocco,19/06/2026,Scotland,Morocco,Loss,0,0,6,11,0.51,TheStatsDontLie
19/06/2026_Scotland_Morocco,19/06/2026,Morocco,Scotland,Win,1,2,12,8,0.99,TheStatsDontLie
20/06/2026_Brazil_Haiti,20/06/2026,Brazil,Haiti,Win,3,5,8,13,1.75,TheStatsDontLie
20/06/2026_Brazil_Haiti,20/06/2026,Haiti,Brazil,Loss,0,3,7,14,0.23,TheStatsDontLie
20/06/2026_Turkey_Paraguay,20/06/2026,Turkey,Paraguay,Loss,0,5,32,14,2.17,TheStatsDontLie
20/06/2026_Turkey_Paraguay,20/06/2026,Paraguay,Turkey,Win,1,2,7,15,0.32,TheStatsDontLie
20/06/2026_Netherlands_Sweden,20/06/2026,Netherlands,Sweden,Win,5,7,10,9,2.61,TheStatsDontLie
20/06/2026_Netherlands_Sweden,20/06/2026,Sweden,Netherlands,Loss,1,8,16,12,1.01,TheStatsDontLie
20/06/2026_Germany_Ivory Coast,20/06/2026,Germany,Ivory Coast,Win,2,7,16,5,1.89,TheStatsDontLie
20/06/2026_Germany_Ivory Coast,20/06/2026,Ivory Coast,Germany,Loss,1,2,9,7,1.22,TheStatsDontLie
21/06/2026_Ecuador_Curacao,21/06/2026,Ecuador,Curacao,Draw,0,15,27,7,2.84,TheStatsDontLie
21/06/2026_Ecuador_Curacao,21/06/2026,Curacao,Ecuador,Draw,0,3,10,10,0.5,TheStatsDontLie
21/06/2026_Tunisia_Japan,21/06/2026,Tunisia,Japan,Loss,0,0,2,8,0.05,TheStatsDontLie
21/06/2026_Tunisia_Japan,21/06/2026,Japan,Tunisia,Win,4,5,11,15,2.13,TheStatsDontLie
21/06/2026_Spain_Saudi Arabia,21/06/2026,Spain,Saudi Arabia,Win,4,8,22,10,2.3,TheStatsDontLie
21/06/2026_Spain_Saudi Arabia,21/06/2026,Saudi Arabia,Spain,Loss,0,1,3,2,0.14,TheStatsDontLie
21/06/2026_Belgium_Iran,21/06/2026,Belgium,Iran,Draw,0,7,23,7,1.79,TheStatsDontLie
21/06/2026_Belgium_Iran,21/06/2026,Iran,Belgium,Draw,0,3,7,9,0.62,TheStatsDontLie
21/06/2026_Uruguay_Cape Verde,21/06/2026,Uruguay,Cape Verde,Draw,2,2,17,11,2.32,TheStatsDontLie
21/06/2026_Uruguay_Cape Verde,21/06/2026,Cape Verde,Uruguay,Draw,2,4,12,4,0.88,TheStatsDontLie
22/06/2026_New Zealand_Egypt,22/06/2026,New Zealand,Egypt,Loss,1,5,11,14,1.24,TheStatsDontLie
22/06/2026_New Zealand_Egypt,22/06/2026,Egypt,New Zealand,Win,3,7,19,8,1.87,TheStatsDontLie
22/06/2026_Argentina_Austria,22/06/2026,Argentina,Austria,Win,2,5,12,13,2.36,TheStatsDontLie
22/06/2026_Argentina_Austria,22/06/2026,Austria,Argentina,Loss,0,1,6,13,0.53,TheStatsDontLie
22/06/2026_France_Iraq,22/06/2026,France,Iraq,Win,3,5,19,8,2.67,TheStatsDontLie
22/06/2026_France_Iraq,22/06/2026,Iraq,France,Loss,0,0,4,4,0.63,TheStatsDontLie
23/06/2026_Norway_Senegal,23/06/2026,Norway,Senegal,Win,3,7,13,13,2.2,TheStatsDontLie
23/06/2026_Norway_Senegal,23/06/2026,Senegal,Norway,Loss,2,4,16,5,1.72,TheStatsDontLie
23/06/2026_Jordan_Algeria,23/06/2026,Jordan,Algeria,Loss,1,4,8,11,0.63,TheStatsDontLie
23/06/2026_Jordan_Algeria,23/06/2026,Algeria,Jordan,Win,2,8,17,6,1.89,TheStatsDontLie
23/06/2026_Portugal_Uzbekistan,23/06/2026,Portugal,Uzbekistan,Win,5,9,17,14,2.61,TheStatsDontLie
23/06/2026_Portugal_Uzbekistan,23/06/2026,Uzbekistan,Portugal,Loss,0,2,7,15,0.24,TheStatsDontLie
23/06/2026_England_Ghana,23/06/2026,England,Ghana,Draw,0,3,19,14,1.36,TheStatsDontLie
23/06/2026_England_Ghana,23/06/2026,Ghana,England,Draw,0,1,2,24,0.17,TheStatsDontLie
24/06/2026_Panama_Croatia,24/06/2026,Panama,Croatia,Loss,0,1,8,19,0.55,TheStatsDontLie
24/06/2026_Panama_Croatia,24/06/2026,Croatia,Panama,Win,1,2,6,12,1.65,TheStatsDontLie
24/06/2026_Colombia_D.R. Congo,24/06/2026,Colombia,D.R. Congo,Win,1,9,20,12,0.98,TheStatsDontLie
24/06/2026_Colombia_D.R. Congo,24/06/2026,D.R. Congo,Colombia,Loss,0,1,7,16,0.37,TheStatsDontLie
24/06/2026_Bosnia & Herzegovina_Qatar,24/06/2026,Bosnia & Herzegovina,Qatar,Win,3,5,14,9,0.68,TheStatsDontLie
24/06/2026_Bosnia & Herzegovina_Qatar,24/06/2026,Qatar,Bosnia & Herzegovina,Loss,1,3,9,14,0.77,TheStatsDontLie
24/06/2026_Switzerland_Canada,24/06/2026,Switzerland,Canada,Win,2,4,6,19,1.11,TheStatsDontLie
24/06/2026_Switzerland_Canada,24/06/2026,Canada,Switzerland,Loss,1,7,13,13,1.66,TheStatsDontLie
24/06/2026_Morocco_Haiti,24/06/2026,Morocco,Haiti,Win,4,11,22,10,3.76,TheStatsDontLie
24/06/2026_Morocco_Haiti,24/06/2026,Haiti,Morocco,Loss,2,2,9,18,0.67,TheStatsDontLie
24/06/2026_Scotland_Brazil,24/06/2026,Scotland,Brazil,Loss,0,5,14,10,1.04,TheStatsDontLie
24/06/2026_Scotland_Brazil,24/06/2026,Brazil,Scotland,Win,3,9,21,11,4.33,TheStatsDontLie
25/06/2026_Czech Republic_Mexico,25/06/2026,Czech Republic,Mexico,Loss,0,1,13,9,0.53,TheStatsDontLie
25/06/2026_Czech Republic_Mexico,25/06/2026,Mexico,Czech Republic,Win,3,5,11,13,1.74,TheStatsDontLie
25/06/2026_South Africa_South Korea,25/06/2026,South Africa,South Korea,Win,1,4,13,7,1.16,TheStatsDontLie
25/06/2026_South Africa_South Korea,25/06/2026,South Korea,South Africa,Loss,0,3,8,9,0.9,TheStatsDontLie
25/06/2026_Curacao_Ivory Coast,25/06/2026,Curacao,Ivory Coast,Loss,0,2,11,11,0.5,TheStatsDontLie
25/06/2026_Curacao_Ivory Coast,25/06/2026,Ivory Coast,Curacao,Win,2,3,7,6,1.31,TheStatsDontLie
25/06/2026_Ecuador_Germany,25/06/2026,Ecuador,Germany,Win,2,3,7,15,1.27,TheStatsDontLie
25/06/2026_Ecuador_Germany,25/06/2026,Germany,Ecuador,Loss,1,3,11,10,0.65,TheStatsDontLie
26/06/2026_Japan_Sweden,26/06/2026,Japan,Sweden,Draw,1,3,8,20,1.21,TheStatsDontLie
26/06/2026_Japan_Sweden,26/06/2026,Sweden,Japan,Draw,1,5,11,11,0.64,TheStatsDontLie
26/06/2026_Tunisia_Netherlands,26/06/2026,Tunisia,Netherlands,Loss,1,4,10,11,0.62,TheStatsDontLie
26/06/2026_Tunisia_Netherlands,26/06/2026,Netherlands,Tunisia,Win,3,7,20,10,1.85,TheStatsDontLie
26/06/2026_Paraguay_Australia,26/06/2026,Paraguay,Australia,Draw,0,2,7,9,0.24,TheStatsDontLie
26/06/2026_Paraguay_Australia,26/06/2026,Australia,Paraguay,Draw,0,5,12,6,0.55,TheStatsDontLie
26/06/2026_Turkey_USA,26/06/2026,Turkey,USA,Win,3,3,9,13,3.01,TheStatsDontLie
26/06/2026_Turkey_USA,26/06/2026,USA,Turkey,Loss,2,7,18,13,2.13,TheStatsDontLie
26/06/2026_Norway_France,26/06/2026,Norway,France,Loss,1,4,10,9,1.7,TheStatsDontLie
26/06/2026_Norway_France,26/06/2026,France,Norway,Win,4,9,18,11,1.5,TheStatsDontLie
26/06/2026_Senegal_Iraq,26/06/2026,Senegal,Iraq,Win,5,12,28,10,3.01,TheStatsDontLie
26/06/2026_Senegal_Iraq,26/06/2026,Iraq,Senegal,Loss,0,1,6,11,1.04,TheStatsDontLie
27/06/2026_Cape Verde_Saudi Arabia,27/06/2026,Cape Verde,Saudi Arabia,Draw,0,2,15,10,1.39,TheStatsDontLie
27/06/2026_Cape Verde_Saudi Arabia,27/06/2026,Saudi Arabia,Cape Verde,Draw,0,3,7,16,0.39,TheStatsDontLie
27/06/2026_Uruguay_Spain,27/06/2026,Uruguay,Spain,Loss,0,1,5,14,0.2,TheStatsDontLie
27/06/2026_Uruguay_Spain,27/06/2026,Spain,Uruguay,Win,1,1,6,14,0.86,TheStatsDontLie
27/06/2026_Egypt_Iran,27/06/2026,Egypt,Iran,Draw,1,3,15,11,0.84,TheStatsDontLie
27/06/2026_Egypt_Iran,27/06/2026,Iran,Egypt,Draw,1,4,13,16,1.97,TheStatsDontLie
27/06/2026_New Zealand_Belgium,27/06/2026,New Zealand,Belgium,Loss,1,2,6,10,0.25,TheStatsDontLie
27/06/2026_New Zealand_Belgium,27/06/2026,Belgium,New Zealand,Win,5,10,35,7,3.69,TheStatsDontLie
27/06/2026_Croatia_Ghana,27/06/2026,Croatia,Ghana,Win,2,4,8,9,0.42,TheStatsDontLie
27/06/2026_Croatia_Ghana,27/06/2026,Ghana,Croatia,Loss,1,1,6,13,0.74,TheStatsDontLie
27/06/2026_Panama_England,27/06/2026,Panama,England,Loss,0,2,13,16,0.58,TheStatsDontLie
27/06/2026_Panama_England,27/06/2026,England,Panama,Win,2,6,17,13,1.49,TheStatsDontLie
28/06/2026_Colombia_Portugal,28/06/2026,Colombia,Portugal,Draw,0,6,24,12,1.7,TheStatsDontLie
28/06/2026_Colombia_Portugal,28/06/2026,Portugal,Colombia,Draw,0,2,13,6,0.93,TheStatsDontLie
28/06/2026_D.R. Congo_Uzbekistan,28/06/2026,D.R. Congo,Uzbekistan,Win,3,4,19,6,2.18,TheStatsDontLie
28/06/2026_D.R. Congo_Uzbekistan,28/06/2026,Uzbekistan,D.R. Congo,Loss,1,1,3,16,0.2,TheStatsDontLie
28/06/2026_Algeria_Austria,28/06/2026,Algeria,Austria,Draw,3,5,12,3,1.67,TheStatsDontLie
28/06/2026_Algeria_Austria,28/06/2026,Austria,Algeria,Draw,3,3,10,7,1.49,TheStatsDontLie
28/06/2026_Jordan_Argentina,28/06/2026,Jordan,Argentina,Loss,1,1,5,13,0.76,TheStatsDontLie
28/06/2026_Jordan_Argentina,28/06/2026,Argentina,Jordan,Win,3,4,12,7,2.13,TheStatsDontLie
